model,run,persona_type,persona_id,accuracy,f1_weighted,f1_macro,mean_error,mean_absolute_error,hate_over_flagging_rate,offensive_over_flagging_rate,offensive_to_hate_rate
qwen3_32b,r2,persona,not_lonely,0.472,0.5134699394508946,0.478295864675474,0.348,0.592,0.09966777408637874,0.5282392026578073,0.21333333333333335
qwen3_32b,r2,persona,somewhat_lonely,0.348,0.3607539138552581,0.38237059600038004,0.432,0.688,0.059800664451827246,0.7674418604651163,0.17333333333333334
qwen3_32b,r2,persona,left-wing,0.416,0.42396313149765835,0.43549584260581703,0.512,0.66,0.12292358803986711,0.654485049833887,0.29333333333333333
qwen3_32b,r2,persona,right-wing,0.444,0.4782119782124954,0.4549701891437344,0.35,0.634,0.10963455149501661,0.5581395348837209,0.16
qwen3_32b,r2,persona,centrist,0.444,0.4880674776716969,0.46647674776716963,0.312,0.588,0.04983388704318937,0.6212624584717608,0.10666666666666667
qwen3_32b,r2,persona,white,0.48,0.5118178643749313,0.4844759157000435,0.406,0.602,0.12956810631229235,0.5149501661129569,0.25333333333333335
qwen3_32b,r2,persona,black,0.41,0.41425588884574027,0.42606169677177097,0.534,0.678,0.14285714285714285,0.6411960132890365,0.32
qwen3_32b,r2,persona,asian,0.426,0.43689510430038614,0.4484349640724885,0.49,0.642,0.10963455149501661,0.6578073089700996,0.25333333333333335
qwen3_32b,r2,persona,christian,0.402,0.4221712204007286,0.42520311099546076,0.44,0.664,0.10631229235880399,0.654485049833887,0.2
qwen3_32b,r2,persona,muslim,0.412,0.4367745567375887,0.4337027186761229,0.42,0.652,0.10299003322259136,0.6378737541528239,0.18666666666666668
qwen3_32b,r2,persona,jewish,0.42,0.4298738006989304,0.43354807205807955,0.516,0.672,0.14950166112956811,0.6112956810631229,0.30666666666666664
qwen3_32b,r2,persona,atheist,0.476,0.5108137248324184,0.4900651313795364,0.37,0.586,0.09634551495016612,0.5581395348837209,0.17333333333333334
qwen3_32b,r2,persona,hindu,0.396,0.43264477504981935,0.41645833811285,0.396,0.656,0.08637873754152824,0.6411960132890365,0.24
qwen3_32b,r3,baseline,baseline,0.5436681222707423,0.5621649555388731,0.5269874899112187,0.4497816593886463,0.5633187772925764,0.17343173431734318,0.4132841328413284,0.36619718309859156
qwen3_32b,r3,persona,15,0.428,0.4454338915298185,0.4461052290406223,0.46,0.652,0.12956810631229235,0.6112956810631229,0.21333333333333335
qwen3_32b,r3,persona,35,0.436,0.4560323464382429,0.4557939242606834,0.454,0.634,0.11295681063122924,0.6212624584717608,0.22666666666666666
qwen3_32b,r3,persona,65,0.364,0.37980789843447116,0.3928356394053873,0.448,0.692,0.09302325581395349,0.7109634551495017,0.2
qwen3_32b,r3,persona,no_formal_education,0.358,0.37801275060817047,0.36633001188529385,0.356,0.74,0.12956810631229235,0.6212624584717608,0.12
qwen3_32b,r3,persona,high_school_education,0.452,0.4892539866128214,0.4601714831625375,0.372,0.62,0.11627906976744186,0.5415282392026578,0.2
qwen3_32b,r3,persona,higher_education,0.42,0.4366750767209898,0.43608724581496966,0.492,0.66,0.12956810631229235,0.6212624584717608,0.30666666666666664
qwen3_32b,r3,persona,male,0.446,0.4574743195247296,0.45412801620580084,0.506,0.658,0.16943521594684385,0.5581395348837209,0.28
