model,group,persona,token_f1_mean,token_f1_std,iou_f1_mean,iou_f1_std,n_eval_mean,gt_total
gpt_oss_120b,baseline,baseline,0.6958276207902827,0.017504309476704047,0.6884422110552765,0.028426403263780823,199.0,199
mistral_medium,baseline,baseline,0.6613166324879655,0.0021061117733972294,0.6197654941373535,0.004737733877296821,199.0,199
qwen3_32b,baseline,baseline,0.6800423613800884,0.007167408017248385,0.6430369315382617,0.012090245689128844,195.0,199
