model,group,persona,token_f1_mean,token_f1_std,iou_f1_mean,iou_f1_std,n_eval_mean,gt_total
gpt_oss_120b,Age,15,0.696860255272437,0.01619090354316656,0.6582914572864321,0.02872098525876422,199.0,199
gpt_oss_120b,Age,35,0.6720785177241307,0.012818743938624906,0.644891122278057,0.016582068570538785,199.0,199
gpt_oss_120b,Age,65,0.6947112556275415,0.00915126255898003,0.6532663316582914,0.004102997894109148,199.0,199
gpt_oss_120b,Education,nfe,0.6821589425487403,0.008246560540073332,0.6448911222780569,0.020239607995970813,199.0,199
gpt_oss_120b,Education,hs,0.6887593928607826,0.005845727363453819,0.661641541038526,0.006267432808666546,199.0,199
gpt_oss_120b,Education,he,0.6946238869703381,0.005388906913306682,0.6666666666666666,0.004737733877296821,199.0,199
gpt_oss_120b,Gender,m,0.6940186472190927,0.0017504741560431356,0.6515912897822446,0.0023688669386484106,199.0,199
gpt_oss_120b,Gender,f,0.6922995871928688,0.0025642020487994187,0.6582914572864321,0.00710660081594518,199.0,199
gpt_oss_120b,Loneliness,nl,0.6846458978741913,0.009006444810213309,0.6465661641541037,0.018950935509187233,199.0,199
gpt_oss_120b,Loneliness,sl,0.6982229827321321,0.004338715511399107,0.6482412060301508,0.018802298425999696,199.0,199
gpt_oss_120b,Political,l,0.6966026078863624,0.009764758389324087,0.6482412060301508,0.021319802447835646,199.0,199
gpt_oss_120b,Political,r,0.7077266788080921,0.001927297935013878,0.6683417085427136,0.020514989470545877,199.0,199
gpt_oss_120b,Political,c,0.6984787322279741,0.010261854634449685,0.6499162479061976,0.021054949899458185,199.0,199
gpt_oss_120b,Race,w,0.704174096694327,0.00621508890529021,0.6683417085427136,0.007106600815945233,199.0,199
gpt_oss_120b,Race,b,0.6893949427274118,0.006214747103563081,0.6582914572864321,0.014793569290331415,199.0,199
gpt_oss_120b,Race,a,0.6737547841379699,0.012618710139818051,0.6281407035175879,0.018802298425999737,199.0,199
gpt_oss_120b,Religion,chr,0.6989447336110998,0.0028703877971195287,0.6599664991624791,0.004737733877296769,199.0,199
gpt_oss_120b,Religion,mus,0.6925345105444524,0.00445054056186103,0.6365159128978225,0.023330633630124154,199.0,199
gpt_oss_120b,Religion,jew,0.6890955501611084,0.004476413675326614,0.6448911222780569,0.006267432808666595,199.0,199
gpt_oss_120b,Religion,ath,0.6864509082679998,0.014730100175715173,0.6348408710217756,0.023688669386484004,199.0,199
