model,fleiss_kappa_mean,fleiss_kappa_std,krippendorff_alpha_mean,krippendorff_alpha_std,cohen_kappa_avg_mean,cohen_kappa_avg_std,n_questions_multi_mean,n_personas_mean,total_questions_mean,valid_runs,total_runs
gpt_oss_120b,0.925401717843791,0.0036375864957210037,0.925414150890817,0.003636980231305005,0.9254020987088909,0.0036375364029463445,500.0,12.0,500.0,3,3
mistral_medium,0.9483443009548448,0.0003137764117901359,0.9483185028593802,0.00030699868276699274,0.948275645020202,0.0003003212716832041,500.0,12.0,500.0,3,3
qwen3_32b,0.8794917643541805,0.0014501616777600481,0.8795118490601216,0.0014499199841470818,0.8794927064868089,0.001450171182493759,500.0,12.0,500.0,3,3
