model,avg_jaccard_similarity_mean,avg_jaccard_similarity_std,fleiss_kappa_tokens_mean,fleiss_kappa_tokens_std,krippendorff_alpha_tokens_mean,krippendorff_alpha_tokens_std,n_questions_multi_mean,n_personas_mean,total_questions_mean,valid_runs,total_runs
gpt_oss_120b,0.7193271381555172,0.0009181514555520343,0.21421167022679488,0.00013859954915980966,0.8012501997990915,0.0002447692444802796,500.0,12.0,500.0,3,3
mistral_medium,0.8011200940613818,0.0030044205043907412,0.30226495523035685,0.0014250568893788066,0.8487176832856799,0.0024184459220508736,500.0,12.0,500.0,3,3
qwen3_32b,0.5622674001924003,0.0016209687246479115,0.2942737784983729,0.0009993407122168574,0.6303406078259134,0.0005973633276881277,500.0,12.0,500.0,3,3
