model,run,fleiss_kappa,krippendorff_alpha,cohen_kappa_avg,n_questions_with_multiple_personas,n_personas_total,total_questions
gpt_oss_120b,r1,0.9203295326045313,0.9203428110157639,0.9203299823723908,500,12,500
mistral_medium,r1,0.9487590846785401,0.9487249027060785,0.94867377611138,500,12,500
qwen3_32b,r1,0.8812526671329228,0.8812724583550674,0.8812536141814905,500,12,500
gpt_oss_120b,r2,0.9286812860479259,0.9286931725002511,0.9286816173844284,500,12,500
mistral_medium,r2,0.9480003466464316,0.947983009095344,0.9479484856612722,500,12,500
qwen3_32b,r2,0.8777008903210175,0.8777212735059641,0.8777018144175599,500,12,500
gpt_oss_120b,r3,0.9271943348789157,0.9272064691564358,0.9271946963698536,500,12,500
mistral_medium,r3,0.948273471539563,0.948247596776718,0.948204673287954,500,12,500
qwen3_32b,r3,0.8795217356086013,0.8795418153193332,0.879522690861376,500,12,500
