model,run,avg_jaccard_similarity,fleiss_kappa_tokens,krippendorff_alpha_tokens,n_questions_with_multiple_personas,n_personas_total,total_questions
gpt_oss_120b,r1,0.7201222485006576,0.2140215387149125,0.801377535924624,500,12,500
mistral_medium,r1,0.8041916807939535,0.303714683935366,0.8515407477128851,500,12,500
qwen3_32b,r1,0.5602049783549784,0.29294185240454484,0.629505305575808,500,12,500
gpt_oss_120b,r2,0.7198186008665054,0.21434799442045424,0.8014652916830822,500,12,500
mistral_medium,r2,0.8021267070471615,0.3027524834373616,0.8489782908529312,500,12,500
qwen3_32b,r2,0.5641652837902837,0.2953490121758923,0.6308676528773356,500,12,500
gpt_oss_120b,r3,0.7180405650993887,0.2142654775450179,0.8009077717895683,500,12,500
mistral_medium,r3,0.7970418943430306,0.30032769831834305,0.8456340112912237,500,12,500
qwen3_32b,r3,0.5624319384319384,0.2945304709146814,0.6306488650245967,500,12,500
