model,group,persona_text,accuracy_mean,accuracy_std,correct_mean,total_mean,missing_mean,matches_group,valid_runs,total_runs
gpt_oss_120b,LY,A 25-year-old Caucasian Female,0.6686666666666667,0.008379870059984364,334.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,LY,A 45-year-old African American Male,0.6713333333333334,0.007363574011458181,335.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,LY,A 45-year-old Hispanic Male,0.6753333333333335,0.008055363982396388,337.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,LY,A 45-year-old Caucasian Male,0.6766666666666667,0.003399346342395193,338.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,LY,A 45-year-old African American Female,0.6666666666666666,0.0018856180831641283,333.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,LY,A 45-year-old Hispanic Female,0.666,0.00489897948556636,333.0,500.0,0.0,False,3,3
gpt_oss_120b,LY,A 45-year-old Caucasian Female,0.6693333333333333,0.0024944382578492965,334.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,WO,A 25-year-old African American Male,0.7479999999999999,0.0028284271247461922,374.0,500.0,0.0,False,3,3
gpt_oss_120b,WO,A 25-year-old Hispanic Male,0.7353333333333333,0.0024944382578492965,367.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,WO,A 25-year-old Caucasian Male,0.7333333333333334,0.009568466729604892,366.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,WO,A 25-year-old African American Female,0.7280000000000001,0.0032659863237109073,364.0,500.0,0.0,False,3,3
gpt_oss_120b,WO,A 25-year-old Hispanic Female,0.7413333333333334,0.0024944382578492965,370.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,WO,A 25-year-old Caucasian Female,0.7393333333333333,0.003399346342395193,369.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,WO,A 45-year-old African American Male,0.738,0.005887840577551903,369.0,500.0,0.0,False,3,3
gpt_oss_120b,WO,A 45-year-old Hispanic Male,0.7406666666666667,0.003399346342395193,370.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,WO,A 45-year-old Caucasian Male,0.7413333333333334,0.0041096093353126546,370.6666666666667,500.0,0.0,True,3,3
gpt_oss_120b,WO,A 45-year-old African American Female,0.7386666666666667,0.0009428090415820641,369.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,WO,A 45-year-old Hispanic Female,0.7353333333333333,0.0024944382578492965,367.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,WO,A 45-year-old Caucasian Female,0.7446666666666667,0.005249338582674546,372.3333333333333,500.0,0.0,True,3,3
gpt_oss_120b,WY,A 25-year-old African American Male,0.6813333333333333,0.008379870059984326,340.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,WY,A 25-year-old Hispanic Male,0.6633333333333334,0.007717224601860157,331.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,WY,A 25-year-old Caucasian Male,0.672,0.0016329931618554536,336.0,500.0,0.0,True,3,3
gpt_oss_120b,WY,A 25-year-old African American Female,0.6773333333333333,0.00659966329107445,338.6666666666667,500.0,0.0,False,3,3
gpt_oss_120b,WY,A 25-year-old Hispanic Female,0.6746666666666666,0.004988876515698593,337.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,WY,A 25-year-old Caucasian Female,0.6693333333333333,0.006798692684790386,334.6666666666667,500.0,0.0,True,3,3
gpt_oss_120b,WY,A 45-year-old African American Male,0.6746666666666666,0.006182412330330475,337.3333333333333,500.0,0.0,False,3,3
gpt_oss_120b,WY,A 45-year-old Hispanic Male,0.67,0.0032659863237109073,335.0,500.0,0.0,False,3,3
gpt_oss_120b,WY,A 45-year-old Caucasian Male,0.668,0.0043204937989385775,334.0,500.0,0.0,False,3,3
gpt_oss_120b,WY,A 45-year-old African American Female,0.666,0.015577761927397245,333.0,500.0,0.0,False,3,3
gpt_oss_120b,WY,A 45-year-old Hispanic Female,0.664,0.0065319726474218145,332.0,500.0,0.0,False,3,3
gpt_oss_120b,WY,A 45-year-old Caucasian Female,0.6693333333333333,0.006182412330330475,334.6666666666667,500.0,0.0,False,3,3
mistral_medium,BO,A 25-year-old African American Male,0.7378289913159652,0.00571603449939557,368.6666666666667,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,BO,A 25-year-old Hispanic Male,0.7444969939879759,0.0007028556382134694,372.0,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,BO,A 25-year-old Caucasian Male,0.7473333333333333,0.0009428090415820641,373.6666666666667,500.0,0.0,False,3,3
mistral_medium,BO,A 25-year-old African American Female,0.7428156017523668,0.002796327844362313,370.6666666666667,499.0,1.0,False,3,3
mistral_medium,BO,A 25-year-old Hispanic Female,0.7506666666666666,0.003399346342395193,375.3333333333333,500.0,0.0,False,3,3
mistral_medium,BO,A 25-year-old Caucasian Female,0.75,0.002828427124746193,375.0,500.0,0.0,False,3,3
mistral_medium,BO,A 45-year-old African American Male,0.7479999999999999,0.0043204937989385775,374.0,500.0,0.0,True,3,3
mistral_medium,BO,A 45-year-old Hispanic Male,0.756503674014696,0.005758415201602139,378.0,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,BO,A 45-year-old Caucasian Male,0.75,0.0043204937989385775,375.0,500.0,0.0,False,3,3
mistral_medium,BO,A 45-year-old African American Female,0.7382857721292949,0.0019421831947442857,367.6666666666667,498.0,2.0,True,3,3
mistral_medium,BO,A 45-year-old Hispanic Female,0.7526666666666667,0.006182412330330475,376.3333333333333,500.0,0.0,False,3,3
mistral_medium,BO,A 45-year-old Caucasian Female,0.7520000000000001,0.0028284271247461922,376.0,500.0,0.0,False,3,3
mistral_medium,BY,A 25-year-old African American Male,0.6704475617902471,0.003326753639638071,335.0,499.6666666666667,0.3333333333333333,True,3,3
mistral_medium,BY,A 25-year-old Hispanic Male,0.6724502338009352,0.003194738824184206,336.0,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,BY,A 25-year-old Caucasian Male,0.6773333333333333,0.0024944382578492965,338.6666666666667,500.0,0.0,False,3,3
mistral_medium,BY,A 25-year-old African American Female,0.6706764801356394,0.0014496755180111,334.6666666666667,499.0,1.0,True,3,3
mistral_medium,BY,A 25-year-old Hispanic Female,0.6653333333333333,0.006798692684790386,332.6666666666667,500.0,0.0,False,3,3
mistral_medium,BY,A 25-year-old Caucasian Female,0.676,0.0032659863237109073,338.0,500.0,0.0,False,3,3
mistral_medium,BY,A 45-year-old African American Male,0.668,0.00489897948556636,334.0,500.0,0.0,False,3,3
mistral_medium,BY,A 45-year-old Hispanic Male,0.6737875751503006,0.007258887727355284,336.6666666666667,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,BY,A 45-year-old Caucasian Male,0.666,0.002828427124746193,333.0,500.0,0.0,False,3,3
mistral_medium,BY,A 45-year-old African American Female,0.668003128130748,0.00537896398406753,332.6666666666667,498.0,2.0,False,3,3
mistral_medium,BY,A 45-year-old Hispanic Female,0.666,0.0,333.0,500.0,0.0,False,3,3
mistral_medium,BY,A 45-year-old Caucasian Female,0.6726666666666667,0.0041096093353126546,336.3333333333333,500.0,0.0,False,3,3
mistral_medium,LO,A 25-year-old African American Male,0.6998022712090849,0.004142828706193284,349.6666666666667,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,LO,A 25-year-old Hispanic Male,0.6997969271877088,0.003517630779257569,349.6666666666667,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,LO,A 25-year-old Caucasian Male,0.7040000000000001,0.0043204937989385775,352.0,500.0,0.0,False,3,3
mistral_medium,LO,A 25-year-old African American Female,0.7047460382612615,0.003845573102950387,351.6666666666667,499.0,1.0,False,3,3
mistral_medium,LO,A 25-year-old Hispanic Female,0.7026666666666666,0.0037712361663282566,351.3333333333333,500.0,0.0,False,3,3
mistral_medium,LO,A 25-year-old Caucasian Female,0.7026666666666666,0.0024944382578492965,351.3333333333333,500.0,0.0,False,3,3
mistral_medium,LO,A 45-year-old African American Male,0.7066666666666667,0.0018856180831641283,353.3333333333333,500.0,0.0,False,3,3
mistral_medium,LO,A 45-year-old Hispanic Male,0.7071396125584503,0.0036419912456541934,353.3333333333333,499.6666666666667,0.3333333333333333,True,3,3
mistral_medium,LO,A 45-year-old Caucasian Male,0.7040000000000001,0.005887840577551903,352.0,500.0,0.0,False,3,3
mistral_medium,LO,A 45-year-old African American Female,0.7048238599005158,0.002795151925839364,351.0,498.0,2.0,False,3,3
mistral_medium,LO,A 45-year-old Hispanic Female,0.7026666666666666,0.0037712361663282566,351.3333333333333,500.0,0.0,True,3,3
mistral_medium,LO,A 45-year-old Caucasian Female,0.7113333333333333,0.0018856180831641283,355.6666666666667,500.0,0.0,False,3,3
mistral_medium,LY,A 25-year-old African American Male,0.6864595858383433,0.004574652807115674,343.0,499.6666666666667,0.3333333333333333,False,3,3
mistral_medium,LY,A 25-year-old Hispanic Male,0.6844582498329994,0.002218028813508014,342.0,499.6666666666667,0.3333333333333333,True,3,3
mistral_medium,LY,A 25-year-old Caucasian Male,0.6953333333333332,0.003399346342395193,347.6666666666667,500.0,0.0,False,3,3
