model,fleiss_kappa_mean,fleiss_kappa_std,krippendorff_alpha_mean,krippendorff_alpha_std,cohen_kappa_avg_mean,cohen_kappa_avg_std,n_questions_multi_mean,n_personas_mean,total_questions_mean,valid_runs,total_runs
gpt_oss_120b,0.9647899868163217,0.006555673236342686,0.964798370208586,0.006549811995256072,0.9647844242072899,0.006547474219248759,263.0,12.0,263.0,3,3
mistral_medium,0.9822506746705209,0.004038938892630677,0.982256298664605,0.004037659127455554,0.9822508830331937,0.004038721572515,263.0,12.0,263.0,3,3
qwen3_32b,0.8430797314423484,0.0036665002753796918,0.8431294526934755,0.0036653385199058707,0.8430809311237134,0.003666038451123668,263.0,12.0,263.0,3,3
