model,run,avg_jaccard_similarity,fleiss_kappa_tokens,krippendorff_alpha_tokens,n_questions_with_multiple_personas,n_personas_total,total_questions
gpt_oss_120b,r1,0.6460192409336896,0.31013622226507576,0.7167034431914645,263,12,263
mistral_medium,r1,0.864781300237574,0.36830091948841437,0.8959514904288673,263,12,263
qwen3_32b,r1,0.6194231606303849,0.2982912193139644,0.6898110532374626,263,12,263
gpt_oss_120b,r2,0.6500188148001836,0.315008434221986,0.7186741604153402,263,12,263
mistral_medium,r2,0.8543538544964401,0.36604153701037956,0.8870483915318154,263,12,263
qwen3_32b,r2,0.6099587446070337,0.29594564135910884,0.6825931657617355,263,12,263
gpt_oss_120b,r3,0.6518186344707256,0.3138476657737665,0.722416253376488,263,12,263
mistral_medium,r3,0.8478843523045043,0.3688669700571108,0.8823622349192513,263,12,263
qwen3_32b,r3,0.6244607262192814,0.3001235001869647,0.6959826014266092,263,12,263
