model,group,persona_text,accuracy_mean,accuracy_std,macro_f1_3class_mean,macro_f1_3class_std,macro_f1_binary_mean,macro_f1_binary_std,correct_mean,total_mean,missing_mean,matches_group,valid_runs,total_runs
gpt_oss_120b,BO,A 25-year-old African American Male,0.9441509689528731,0.00657559186277057,0.6899905189506262,0.03972790598708275,0.9879216660793603,0.0033224930117158285,248.0,262.6666666666667,0.3333333333333333,False,3,3
gpt_oss_120b,BO,A 25-year-old Hispanic Male,0.9353612167300379,0.005377237879745602,0.6649197268380914,0.0349196701099639,0.9838376034533693,0.003390906925510238,246.0,263.0,0.0,False,3,3
gpt_oss_120b,BO,A 25-year-old Caucasian Male,0.9353612167300381,1.1102230246251565e-16,0.6398518289095497,0.0004393002420216194,0.9865705852041365,0.0018532796737666948,246.0,263.0,0.0,False,3,3
gpt_oss_120b,BO,A 25-year-old African American Female,0.9353612167300381,0.003104549737367806,0.7077972891291703,0.017968539596746217,0.9811693984462865,0.003764813953961409,246.0,263.0,0.0,False,3,3
gpt_oss_120b,BO,A 25-year-old Hispanic Female,0.9416983523447402,0.007812945504396693,0.6606063508133769,0.028810786869938244,0.9866228326460993,0.001966712347451729,247.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,BO,A 25-year-old Caucasian Female,0.9416983523447402,0.0017924126265818326,0.6737510976185441,0.021740459442593497,0.9866090727438214,0.001917842969145674,247.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,BO,A 45-year-old African American Male,0.946768060836502,0.003104549737367806,0.7081362694798706,0.02324061747725957,0.9892915402660348,0.0018858295883302351,249.0,263.0,0.0,True,3,3
gpt_oss_120b,BO,A 45-year-old Hispanic Male,0.9416983523447402,0.0017924126265818324,0.6745239883315198,0.022447834323382487,0.9892604670951903,0.001881161095504445,247.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,BO,A 45-year-old Caucasian Male,0.9391634980988592,0.003104549737367761,0.6578019686370911,0.022963051945234802,0.9852706646629116,0.0037608633798502035,247.0,263.0,0.0,False,3,3
gpt_oss_120b,BO,A 45-year-old African American Female,0.9378960709759189,0.004742278056747709,0.6404167440063343,0.0027884832719366356,0.9852788064875018,0.003798480602986051,246.66666666666666,263.0,0.0,True,3,3
gpt_oss_120b,BO,A 45-year-old Hispanic Female,0.9391634980988594,0.005377237879745603,0.6723808740959036,0.02351283753940674,0.987891819789437,7.065602457844304e-05,247.0,263.0,0.0,False,3,3
gpt_oss_120b,BO,A 45-year-old Caucasian Female,0.9416983523447402,0.0035848252531637177,0.6734902825330371,0.022746291832007434,0.9892590377317635,0.0019087512324214072,247.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,BY,A 25-year-old African American Male,0.7715777048926556,0.0027623738541410867,0.5767017190521638,0.0010939732393107778,0.9320931283477388,0.0018925460258392662,202.66666666666666,262.6666666666667,0.3333333333333333,True,3,3
gpt_oss_120b,BY,A 25-year-old Hispanic Male,0.7731305449936628,0.0035848252531637177,0.5855065723102135,0.012840635822100974,0.9320886823383204,0.0019199183320980004,203.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,BY,A 25-year-old Caucasian Male,0.7782002534854247,0.0017924126265818849,0.5855171793456502,0.006310574085835005,0.9383968116435973,0.004222477727947692,204.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,BY,A 25-year-old African American Female,0.7731305449936628,0.0047422780567476985,0.5941253888555718,0.007727084829293716,0.9319062702135729,0.003908711153552138,203.33333333333334,263.0,0.0,True,3,3
gpt_oss_120b,BY,A 25-year-old Hispanic Female,0.7731305449936628,0.0035848252531637177,0.573172204770081,0.008628954314017199,0.9338379327504218,0.004154692927995384,203.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,BY,A 25-year-old Caucasian Female,0.7782002534854247,0.006462635631929987,0.5851562348531991,0.010279220279145197,0.9369213360833148,0.005695506498895579,204.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,BY,A 45-year-old African American Male,0.779467680608365,0.003104549737367806,0.5940682782107509,0.0022949446253457636,0.9353706011752894,0.00378942798931565,205.0,263.0,0.0,False,3,3
gpt_oss_120b,BY,A 45-year-old Hispanic Male,0.7743979721166033,0.0035848252531637177,0.5829473684210527,0.007865713744416088,0.9351716075043894,0.00014366420302353386,203.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,BY,A 45-year-old Caucasian Male,0.7731305449936628,0.0017924126265818326,0.5774447240203799,0.0007671738774933492,0.9322832064906746,0.001958687280373155,203.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,BY,A 45-year-old African American Female,0.7731305449936628,0.0035848252531637177,0.5733086826638,0.00783183249065537,0.9338467705456663,0.0019315674794920655,203.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,BY,A 45-year-old Hispanic Female,0.7743979721166033,0.0035848252531637172,0.5865972715833462,0.013619386560997595,0.9336244771663803,0.0020102889969870717,203.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,BY,A 45-year-old Caucasian Female,0.7731305449936628,0.0017924126265818324,0.5783297130968891,0.002041750259786196,0.9366504804459698,0.005579181491269205,203.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,LO,A 25-year-old African American Male,0.8832515794463957,0.0034867394641477905,0.6084769039797722,0.0014616906167120647,0.946392969981582,0.00022125590225960924,232.0,262.6666666666667,0.3333333333333333,False,3,3
gpt_oss_120b,LO,A 25-year-old Hispanic Male,0.8795944233206591,0.004742278056747709,0.6065443258495556,0.00131506882863575,0.9449376169113458,0.0034731506666302496,231.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,LO,A 25-year-old Caucasian Male,0.8821292775665399,0.003104549737367806,0.6075902170090263,0.0018730615343340138,0.9451189429764706,0.0020321552307486102,232.0,263.0,0.0,False,3,3
gpt_oss_120b,LO,A 25-year-old African American Female,0.8757921419518379,0.009484556113495397,0.6161777614160796,0.020112735487472968,0.9433981477026622,0.0053826550786070255,230.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,LO,A 25-year-old Hispanic Female,0.888466413181242,0.0017924126265818326,0.6110144200764519,0.0003050400436964802,0.9481064569759162,0.0016963822102043571,233.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,LO,A 25-year-old Caucasian Female,0.8808618504435994,0.0035848252531637697,0.6063849986286262,0.0012858078469964464,0.9424460440300358,0.00020656424088172097,231.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,LO,A 45-year-old African American Male,0.8846641318124208,0.0035848252531637177,0.6213583414712845,0.018724673587266132,0.9464841094944952,8.406505946973067e-05,232.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,LO,A 45-year-old Hispanic Male,0.8821292775665399,0.0,0.6080471206824998,0.00022592722434647153,0.9463945759641882,4.2554473377695766e-05,232.0,263.0,0.0,True,3,3
gpt_oss_120b,LO,A 45-year-old Caucasian Male,0.8833967046894803,0.0047422780567476985,0.6077949548385774,0.002724782113608007,0.943863081533047,0.0038775127578139206,232.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,LO,A 45-year-old African American Female,0.8871989860583017,0.0047422780567476985,0.6099994909819992,0.0027482844333359645,0.9467125338254417,0.0034503719666367895,233.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,LO,A 45-year-old Hispanic Female,0.8821292775665399,0.003104549737367806,0.6083675004284624,0.0010233342417735616,0.9476742813382611,0.001650871302139558,232.0,263.0,0.0,True,3,3
gpt_oss_120b,LO,A 45-year-old Caucasian Female,0.8808618504435995,0.0047422780567476985,0.607127312058983,0.0023896282980118344,0.945030025719782,0.002099680049172247,231.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,LY,A 25-year-old African American Male,0.8933958339380218,0.0032778677903410355,0.6310469895230938,0.015003975646738762,0.975001191953275,0.003420379532563526,234.66666666666666,262.6666666666667,0.3333333333333333,False,3,3
gpt_oss_120b,LY,A 25-year-old Hispanic Male,0.8884664131812422,0.0064626356319300235,0.6198902323449283,0.0024273018915556034,0.9749428740494777,0.003308782276341193,233.66666666666666,263.0,0.0,True,3,3
gpt_oss_120b,LY,A 25-year-old Caucasian Male,0.8910012674271229,0.0017924126265818849,0.6208437540917221,0.0006800422615447605,0.9750072422349415,6.098598020201147e-05,234.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,LY,A 25-year-old African American Female,0.8859315589353612,0.003104549737367761,0.6356151899670444,0.01264124939460428,0.9720839712508743,0.001982186715294276,233.0,263.0,0.0,False,3,3
gpt_oss_120b,LY,A 25-year-old Hispanic Female,0.8948035487959443,0.0035848252531637697,0.622314431656675,0.0014582512802464112,0.9751091234394299,0.00010801453135864601,235.33333333333334,263.0,0.0,True,3,3
gpt_oss_120b,LY,A 25-year-old Caucasian Female,0.8910012674271229,0.004742278056747709,0.6205265963251394,0.002235142334472627,0.9736520374522138,0.00202373642393875,234.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,LY,A 45-year-old African American Male,0.8935361216730038,0.003104549737367806,0.6319061251222067,0.014338693929212814,0.9763966952057167,0.0019465240012341508,235.0,263.0,0.0,False,3,3
gpt_oss_120b,LY,A 45-year-old Hispanic Male,0.8910012674271229,0.0017924126265818849,0.621322662499692,0.0011995025974326874,0.9763605703941017,0.0019634645110867925,234.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,LY,A 45-year-old Caucasian Male,0.8910012674271229,0.004742278056747709,0.6201106001831892,0.002714672277239504,0.9722982098694244,0.003918138555263148,234.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,LY,A 45-year-old African American Female,0.8960709759188846,0.0035848252531637697,0.632384705762439,0.012201596654215607,0.9737654966361046,0.005151750320740478,235.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,LY,A 45-year-old Hispanic Female,0.8910012674271228,0.0017924126265818849,0.6217154526045806,0.0010254078037446952,0.9777342629238251,0.0038394342142210208,234.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,LY,A 45-year-old Caucasian Female,0.8910012674271229,0.0035848252531637172,0.6213143373504715,0.0017264278509275832,0.9763639126198264,0.0019709142358264316,234.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,WO,A 25-year-old African American Male,0.9098965740767616,0.0018798932430155464,0.6263416102667855,0.0014608403062546739,0.9752388749617484,0.003365488942107702,239.0,262.6666666666667,0.3333333333333333,False,3,3
gpt_oss_120b,WO,A 25-year-old Hispanic Male,0.9036755386565272,0.010902820363805615,0.6227485996572972,0.005164421945465998,0.9710341983382026,0.0036497265470011885,237.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,WO,A 25-year-old Caucasian Male,0.908745247148289,0.0,0.6255768019404212,0.0003272059192555116,0.9739324919367153,0.001836202617728143,239.0,263.0,0.0,False,3,3
gpt_oss_120b,WO,A 25-year-old African American Female,0.8986058301647656,0.0017924126265818849,0.6310719657346046,0.016210710979641777,0.9682663951484006,0.0038322073606783945,236.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,WO,A 25-year-old Hispanic Female,0.9125475285171102,0.005377237879745603,0.6270156313616934,0.002727030920593856,0.9740187473855677,0.00206171014561265,240.0,263.0,0.0,False,3,3
gpt_oss_120b,WO,A 25-year-old Caucasian Female,0.9100126742712294,0.0047422780567476985,0.626086937720435,0.002252871824936044,0.9739508890154706,0.002014786843208091,239.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,WO,A 45-year-old African American Male,0.9100126742712294,0.0017924126265818849,0.6268177154751168,0.0013556967392940372,0.9766185827019811,0.001962668870327212,239.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,WO,A 45-year-old Hispanic Male,0.9100126742712294,0.0017924126265818849,0.626822218063094,0.0011469696369611462,0.9766214777133243,0.001935991136305979,239.33333333333334,263.0,0.0,False,3,3
gpt_oss_120b,WO,A 45-year-old Caucasian Male,0.9100126742712294,0.0047422780567476985,0.6255509576796098,0.002728014961109606,0.9725928315108024,0.003876643218904326,239.33333333333334,263.0,0.0,True,3,3
gpt_oss_120b,WO,A 45-year-old African American Female,0.9112801013941697,0.004742278056747709,0.6261677233220762,0.0028334004407340055,0.9726658078373763,0.003888687208066784,239.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,WO,A 45-year-old Hispanic Female,0.9074778200253485,0.0047422780567476985,0.6253858467934789,0.0019161222378132337,0.9751948319069204,0.00015357905177222384,238.66666666666666,263.0,0.0,False,3,3
gpt_oss_120b,WO,A 45-year-old Caucasian Female,0.9100126742712294,0.0035848252531637697,0.6268731263328676,0.001698010041800933,0.976632644539951,0.0019538018256163147,239.33333333333334,263.0,0.0,True,3,3
