model,avg_jaccard_similarity_mean,avg_jaccard_similarity_std,fleiss_kappa_tokens_mean,fleiss_kappa_tokens_std,krippendorff_alpha_tokens_mean,krippendorff_alpha_tokens_std,n_questions_multi_mean,n_personas_mean,total_questions_mean,valid_runs,total_runs
gpt_oss_120b,0.649285563401533,0.002423700278440843,0.3129974407536094,0.0020779435791090177,0.7192646189944308,0.002369322132698619,263.0,12.0,263.0,3,3
mistral_medium,0.8556731690128395,0.006960946078328912,0.3677364755186349,0.0012205779291399946,0.8884540389599781,0.005636124545917049,263.0,12.0,263.0,3,3
qwen3_32b,0.6179475438189,0.0060116526513788356,0.2981201202866793,0.0017098893247277228,0.689462273475269,0.005471774992196158,263.0,12.0,263.0,3,3
