model,run,group,persona_code,token_f1,iou_f1,n_eval,missing,gt_total
gpt_oss_120b,r1,WY,25_m_b,0.5770525868293869,0.4220532319391635,263,0,263
gpt_oss_120b,r1,WY,25_m_l,0.5728135344167247,0.4220532319391635,263,0,263
gpt_oss_120b,r1,WY,25_m_w,0.5662634013568618,0.42585551330798477,263,0,263
gpt_oss_120b,r1,WY,25_f_b,0.5573947191730141,0.39923954372623577,263,0,263
gpt_oss_120b,r1,WY,25_f_l,0.5605222168681859,0.4296577946768061,263,0,263
gpt_oss_120b,r1,WY,25_f_w,0.5700847032348878,0.4220532319391635,263,0,263
gpt_oss_120b,r1,WY,45_m_b,0.568124043673837,0.4068441064638783,263,0,263
gpt_oss_120b,r1,WY,45_m_l,0.568805195468547,0.4220532319391635,263,0,263
gpt_oss_120b,r1,WY,45_m_w,0.5670094390103381,0.41825095057034223,263,0,263
gpt_oss_120b,r1,WY,45_f_b,0.5666790490740746,0.41825095057034223,263,0,263
gpt_oss_120b,r1,WY,45_f_l,0.5662499153052823,0.41825095057034223,263,0,263
gpt_oss_120b,r1,WY,45_f_w,0.5847268771767595,0.44106463878326996,263,0,263
gpt_oss_120b,r2,BO,25_m_b,0.5905832494523635,0.46946564885496184,262,1,263
gpt_oss_120b,r2,BO,25_m_l,0.603380749944443,0.49049429657794674,263,0,263
gpt_oss_120b,r2,BO,25_m_w,0.6076353550143707,0.5247148288973384,263,0,263
gpt_oss_120b,r2,BO,25_f_b,0.5793439576092928,0.4524714828897338,263,0,263
gpt_oss_120b,r2,BO,25_f_l,0.59772205580466,0.4828897338403042,263,0,263
gpt_oss_120b,r2,BO,25_f_w,0.5924670071456608,0.45627376425855515,263,0,263
gpt_oss_120b,r2,BO,45_m_b,0.606297304332353,0.4752851711026616,263,0,263
gpt_oss_120b,r2,BO,45_m_l,0.5899168734726327,0.46387832699619774,263,0,263
gpt_oss_120b,r2,BO,45_m_w,0.5932827518451849,0.4828897338403042,263,0,263
gpt_oss_120b,r2,BO,45_f_b,0.603219412913759,0.4790874524714829,263,0,263
gpt_oss_120b,r2,BO,45_f_l,0.5982765584263953,0.49429657794676807,263,0,263
gpt_oss_120b,r2,BO,45_f_w,0.5900328112930102,0.4866920152091255,263,0,263
gpt_oss_120b,r2,BY,25_m_b,0.516919491894677,0.37786259541984735,262,1,263
gpt_oss_120b,r2,BY,25_m_l,0.5269051846248164,0.39543726235741444,263,0,263
gpt_oss_120b,r2,BY,25_m_w,0.524064976877354,0.39923954372623577,263,0,263
gpt_oss_120b,r2,BY,25_f_b,0.5193295395730285,0.3840304182509506,263,0,263
gpt_oss_120b,r2,BY,25_f_l,0.5291861886109817,0.42585551330798477,263,0,263
gpt_oss_120b,r2,BY,25_f_w,0.5268887883853883,0.40304182509505704,263,0,263
gpt_oss_120b,r2,BY,45_m_b,0.5271117561070946,0.4068441064638783,263,0,263
gpt_oss_120b,r2,BY,45_m_l,0.5181892718714814,0.3840304182509506,263,0,263
gpt_oss_120b,r2,BY,45_m_w,0.5198140175776762,0.376425855513308,263,0,263
gpt_oss_120b,r2,BY,45_f_b,0.5125345961858355,0.38783269961977185,263,0,263
gpt_oss_120b,r2,BY,45_f_l,0.5299246420285576,0.4068441064638783,263,0,263
gpt_oss_120b,r2,BY,45_f_w,0.5338190088534416,0.41825095057034223,263,0,263
gpt_oss_120b,r2,LO,25_m_b,0.5424033235453228,0.38549618320610685,262,1,263
gpt_oss_120b,r2,LO,25_m_l,0.5546679339822873,0.39923954372623577,263,0,263
gpt_oss_120b,r2,LO,25_m_w,0.5428210546980531,0.4296577946768061,263,0,263
gpt_oss_120b,r2,LO,25_f_b,0.5436958643400028,0.4068441064638783,263,0,263
gpt_oss_120b,r2,LO,25_f_l,0.546295872629959,0.41064638783269963,263,0,263
gpt_oss_120b,r2,LO,25_f_w,0.5424694867695835,0.40304182509505704,263,0,263
gpt_oss_120b,r2,LO,45_m_b,0.5429813893768741,0.38022813688212925,263,0,263
gpt_oss_120b,r2,LO,45_m_l,0.5407751176097481,0.4068441064638783,263,0,263
gpt_oss_120b,r2,LO,45_m_w,0.5562779001774751,0.41825095057034223,263,0,263
gpt_oss_120b,r2,LO,45_f_b,0.541733968174244,0.40304182509505704,263,0,263
