model,run,fleiss_kappa,krippendorff_alpha,cohen_kappa_avg,n_questions_with_multiple_personas,n_personas_total,total_questions
gpt_oss_120b,r1,0.9624260708113681,0.9624379763656101,0.9624264608198144,263,12,263
mistral_medium,r1,0.9871255440116181,0.9871296233702962,0.9871255547542389,263,12,263
qwen3_32b,r1,0.8418093328755265,0.8418594566610539,0.8418109677063023,263,12,263
gpt_oss_120b,r2,0.9737355910764336,0.9737355937150054,0.973718026102887,263,12,263
mistral_medium,r2,0.9772352024230487,0.977242415603523,0.9772357400387919,263,12,263
qwen3_32b,r2,0.8480685960798146,0.8481167365753531,0.8480690900142603,263,12,263
gpt_oss_120b,r3,0.9582082985611632,0.9582215405451427,0.9582087856991685,263,12,263
mistral_medium,r3,0.9823912775768956,0.9823968570199956,0.9823913543065508,263,12,263
qwen3_32b,r3,0.8393612653717039,0.8394121648440194,0.8393627356505777,263,12,263
