model,run,group,persona_text,accuracy,macro_f1_3class,macro_f1_binary,correct,total,missing,matches_group
gpt_oss_120b,r1,LY,A 45-year-old African American Male,0.8973384030418251,0.6521266141327309,0.9750689655172413,236,263,0,False
gpt_oss_120b,r1,LY,A 45-year-old Hispanic Male,0.8897338403041825,0.6204744860789965,0.9749721913236931,234,263,0,False
gpt_oss_120b,r1,LY,A 45-year-old Caucasian Male,0.8897338403041825,0.6203633291085763,0.9749565217391305,234,263,0,False
gpt_oss_120b,r1,LY,A 45-year-old African American Female,0.9011406844106464,0.6258296170676046,0.9793215414850893,237,263,0,False
gpt_oss_120b,r1,LY,A 45-year-old Hispanic Female,0.8935361216730038,0.6219376274893277,0.9750827129859387,235,263,0,False
gpt_oss_120b,r1,LY,A 45-year-old Caucasian Female,0.8935361216730038,0.6218386633639935,0.9750689655172413,235,263,0,False
gpt_oss_120b,r1,WO,A 25-year-old African American Male,0.908745247148289,0.6271876271876272,0.979290794588447,239,263,0,False
gpt_oss_120b,r1,WO,A 25-year-old Hispanic Male,0.8897338403041825,0.6163108921729611,0.9665561083471531,234,263,0,False
gpt_oss_120b,r1,WO,A 25-year-old Caucasian Male,0.908745247148289,0.6258904216351024,0.9752525252525253,239,263,0,False
gpt_oss_120b,r1,WO,A 25-year-old African American Female,0.8973384030418251,0.6211341284787613,0.9709969479445515,236,263,0,False
gpt_oss_120b,r1,WO,A 25-year-old Hispanic Female,0.9049429657794676,0.6231621852059809,0.9711031356888911,238,263,0,False
gpt_oss_120b,r1,WO,A 25-year-old Caucasian Female,0.9163498098859315,0.6288072211476466,0.9754570747217806,241,263,0,False
gpt_oss_120b,r1,WO,A 45-year-old African American Male,0.908745247148289,0.6257146573026401,0.9752091203453859,239,263,0,False
gpt_oss_120b,r1,WO,A 45-year-old Hispanic Male,0.908745247148289,0.6260111880549837,0.9752525252525253,239,263,0,False
gpt_oss_120b,r1,WO,A 45-year-old Caucasian Male,0.908745247148289,0.6257146573026401,0.9752091203453859,239,263,0,True
gpt_oss_120b,r1,WO,A 45-year-old African American Female,0.9163498098859315,0.628954730220553,0.9754960317460317,241,263,0,False
gpt_oss_120b,r1,WO,A 45-year-old Hispanic Female,0.9125475285171103,0.6275508619350831,0.9753753753753753,240,263,0,False
gpt_oss_120b,r1,WO,A 45-year-old Caucasian Female,0.9125475285171103,0.6272675472675472,0.9753342245989305,240,263,0,True
gpt_oss_120b,r1,WY,A 25-year-old African American Male,0.8555133079847909,0.6015073920185525,0.9533219455182954,225,263,0,False
gpt_oss_120b,r1,WY,A 25-year-old Hispanic Male,0.8365019011406845,0.590493205565481,0.9400614754098361,220,263,0,False
gpt_oss_120b,r1,WY,A 25-year-old Caucasian Male,0.8555133079847909,0.6002309320674835,0.9492939666238767,225,263,0,True
gpt_oss_120b,r1,WY,A 25-year-old African American Female,0.8517110266159695,0.6212904476502803,0.9448905175046254,224,263,0,False
gpt_oss_120b,r1,WY,A 25-year-old Hispanic Female,0.8517110266159695,0.5975624756006909,0.9450498492928356,224,263,0,False
gpt_oss_120b,r1,WY,A 25-year-old Caucasian Female,0.8631178707224335,0.6033019268313385,0.949719495091164,227,263,0,True
gpt_oss_120b,r1,WY,A 45-year-old African American Male,0.8555133079847909,0.6002396849854477,0.9492577790465315,225,263,0,False
gpt_oss_120b,r1,WY,A 45-year-old Hispanic Male,0.8555133079847909,0.6003754151224912,0.9492939666238767,225,263,0,False
gpt_oss_120b,r1,WY,A 45-year-old Caucasian Male,0.8555133079847909,0.6002396849854477,0.9492577790465315,225,263,0,False
gpt_oss_120b,r1,WY,A 45-year-old African American Female,0.8669201520912547,0.6058100084817641,0.9539232697127433,228,263,0,False
gpt_oss_120b,r1,WY,A 45-year-old Hispanic Female,0.8593155893536122,0.6019000756196015,0.9495227995758218,226,263,0,False
gpt_oss_120b,r1,WY,A 45-year-old Caucasian Female,0.8593155893536122,0.6017772663342283,0.949490662139219,226,263,0,False
mistral_medium,r1,BO,A 25-year-old African American Male,0.9315589353612167,0.6341281368514484,0.9721234532783388,245,263,0,False
mistral_medium,r1,BO,A 25-year-old Hispanic Male,0.935361216730038,0.6367067276158186,0.9760941057424741,246,263,0,False
mistral_medium,r1,BO,A 25-year-old Caucasian Male,0.935361216730038,0.6367067276158186,0.9760941057424741,246,263,0,False
mistral_medium,r1,BO,A 25-year-old African American Female,0.9277566539923955,0.6328438593027905,0.9720245203407372,244,263,0,False
mistral_medium,r1,BO,A 25-year-old Hispanic Female,0.935361216730038,0.6367067276158186,0.9760941057424741,246,263,0,False
